_id,body_color,body_status,body_type,brand,engine,fuel_consumption,fuel_type,mileage,model,price,volume,year
62c0216f5ac6166d04f28fb9,قهوه ای,کامل رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,بنزینی,200000,patrol4doorir,165000000,4,1989
62c021135ac6166d04f288a1,سفید,دور رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,دوگانه سوز,240000,patrol4doorir,200000000,4,1990
62c022d45ac6166d04f2a9c8,سفید,دور رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,دوگانه سوز,500000,patrol4doorir,210000000,4,1990
62c022945ac6166d04f2a4a9,مشکی,بدون رنگ,suv,nissan,4 سیلندر Z24 کاربراتوری ,14,بنزینی,200000,patrol2doorir,150000000,2.4,1991
62c020bf5ac6166d04f281c2,مشکی,کامل رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,بنزینی,259000,patrol4doorir,182000000,4,1991
62c020645ac6166d04f2799f,نوک مدادی,چند لکه رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,بنزینی,250000,patrol4doorir,150000000,4,1992
62c0238e5ac6166d04f2b899,سفید,بدون رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,بنزینی,151000,patrol4doorir,200000000,4,1992
62c020435ac6166d04f276ee,سرمه ای,دور رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,بنزینی,500000,patrol4doorir,230000000,4,1992
62c023445ac6166d04f2b2af,نقره ای,دور رنگ,suv,nissan,4 سیلندر Z24 کاربراتوری ,14,بنزینی,200000,patrol2doorir,190000000,2.4,1993
62c023ae5ac6166d04f2bb55,نارنجی,دور رنگ,suv,nissan,4 سیلندر Z24 کاربراتوری ,14,بنزینی,200000,patrol2doorir,175000000,2.4,1994
62c023795ac6166d04f2b707,قرمز,چند لکه رنگ,suv,nissan,4 سیلندر Z24 کاربراتوری ,14,بنزینی,400000,patrol2doorir,230000000,2.4,1994
62c022db5ac6166d04f2aa51,آبی,چند لکه رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,بنزینی,400000,patrol4doorir,240000000,4,1994
62c022185ac6166d04f29c70,سفید,چند لکه رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,دوگانه سوز,350000,patrol4doorir,188000000,4,1995
62c021d85ac6166d04f297f5,سبز,دور رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,دوگانه سوز,250000,patrol4doorir,194000000,4,1995
62c023a95ac6166d04f2bad6,مشکی,چند لکه رنگ,suv,nissan,4 سیلندر Z24 کاربراتوری ,14,بنزینی,360000,patrol2doorir,250000000,2.4,1996
62c023aa5ac6166d04f2bae2,سبز,دو لکه رنگ,suv,nissan,4 سیلندر Z24 کاربراتوری ,14,بنزینی,355000,patrol2doorir,269000000,2.4,1996
62c022d65ac6166d04f2a9fa,سرمه ای,دور رنگ,suv,nissan,6 سیلندر P40 کاربراتوری ,17,دوگانه سوز,280000,patrol4doorir,280000000,4,1996
